itemNo|descrGER|descrENG|quantity|listPrice|machineFamily|tableNo
SPIQ40_45X55|Ovalmaschine SPiQ 40 compact 45x55|textile oval screenprinting machine SPiQ 40 45x55|ST|0.0|SPiQ COMPACT|40
SPIQ40_45X55US|Ovalmaschine SPiQ 40 compact 45x55 US|textile oval screenprinting machine SPiQ 40 45x55 |ST|0.0|SPiQ COMPACT US|40
SPIQ40_50X70|Ovalmaschine SPiQ 40 50x70|textile oval screenprinting machine SPiQ 40 50x70|ST|0.0|SPiQ|40
SPIQ40_70X100|Ovalmaschine SPiQ 40 70x100|textile oval screenprinting machine SPiQ 40 70x100|ST|0.0|SPiQ|40
SPIQ40_80X110|Ovalmaschine SPiQ 40 80x110|textile oval screenprinting machine SPiQ 40 80x110|ST|0.0|SPiQ|40
SPIQ42_45X55|Ovalmaschine SPiQ 42 compact 45x55|textile oval screenprinting machine SPiQ 42 45x55|ST|0.0|SPiQ COMPACT|42
SPIQ42_45X55US|Ovalmaschine SPiQ 42 compact 45x55 US|textile oval screenprinting machine SPiQ 42 45x55 |ST|0.0|SPiQ COMPACT US|42
SPIQ42_50X70|Ovalmaschine SPiQ 42 50x70|textile oval screenprinting machine SPiQ 42 50x70|ST|81064.97|SPiQ|42
SPIQ42_70X100|Ovalmaschine SPiQ 42 70x100|textile oval screenprinting machine SPiQ 42 70x100|ST|75827.97|SPiQ|42
SPIQ42_80X110|Ovalmaschine SPiQ 42 80x110|textile oval screenprinting machine SPiQ 42 80x110|ST|0.0|SPiQ|42
SPIQ44_45X55|Ovalmaschine SPiQ 44 compact 45x55|textile oval screenprinting machine SPiQ 44 45x55|ST|0.0|SPiQ COMPACT|44
SPIQ44_45X55US|Ovalmaschine SPiQ 44 compact 45x55 US|textile oval screenprinting machine SPiQ 44 45x55 |ST|0.0|SPiQ COMPACT US|44
SPIQ44_50X70|Ovalmaschine SPiQ 44 50x70|textile oval screenprinting machine SPiQ 44 50x70|ST|0.0|SPiQ|44
SPIQ44_70X100|Ovalmaschine SPiQ 44 70x100|textile oval screenprinting machine SPiQ 44 70x100|ST|0.0|SPiQ|44
SPIQ44_80X110|Ovalmaschine SPiQ 44 80x110|textile oval screenprinting machine SPiQ 44 80x110|ST|0.0|SPiQ|44
SPIQ46_45X55|Ovalmaschine SPiQ 46 compact 45x55|textile oval screenprinting machine SPiQ 46 45x55|ST|0.0|SPiQ COMPACT|46
SPIQ46_45X55US|Ovalmaschine SPiQ 46 compact 45x55 US|textile oval screenprinting machine SPiQ 46 45x55 |ST|0.0|SPiQ COMPACT US|46
SPIQ46_50X70|Ovalmaschine SPiQ 46 50x70|textile oval screenprinting machine SPiQ 46 50x70|ST|0.0|SPiQ|46
SPIQ46_70X100|Ovalmaschine SPiQ 46 70x100|textile oval screenprinting machine SPiQ 46 70x100|ST|0.0|SPiQ|46
SPIQ46_80X110|Ovalmaschine SPiQ 46 80x110|textile oval screenprinting machine SPiQ 46 80x110|ST|80525.08|SPiQ|46
SPIQ46_90X120|Ovalmaschine SPiQ 46 90x120|textile oval screenprinting machine SPiQ 46 90x120|ST|0.0|SPiQ|46
SPIQ48_45X55|Ovalmaschine SPiQ 48 compact 45x55|textile oval screenprinting machine SPiQ 48 45x55|ST|0.0|SPiQ COMPACT|48
SPIQ48_45X55US|Ovalmaschine SPiQ 48 compact 45x55 US|textile oval screenprinting machine SPiQ 48 45x55 |ST|0.0|SPiQ COMPACT US|48
SPIQ48_50X70|Ovalmaschine SPiQ 48 50x70|textile oval screenprinting machine SPiQ 48 50x70|ST|0.0|SPiQ|48
SPIQ48_70X100|Ovalmaschine SPiQ 48 70x100|textile oval screenprinting machine SPiQ 48 70x100|ST|0.0|SPiQ|48
SPIQ48_80X110|Ovalmaschine SPiQ 48 80x110|textile oval screenprinting machine SPiQ 48 80x110|ST|0.0|SPiQ|48
SPIQ50_45X55|Ovalmaschine SPiQ 50 compact 45x55|textile oval screenprinting machine SPiQ 50 45x55|ST|0.0|SPiQ COMPACT|50
SPIQ50_45X55US|Ovalmaschine SPiQ 50 compact 45x55 US|textile oval screenprinting machine SPiQ 50 45x55 |ST|0.0|SPiQ COMPACT US|50
SPIQ50_50X70|Ovalmaschine SPiQ 50 50x70|textile oval screenprinting machine SPiQ 50 50x70|ST|0.0|SPiQ|50
SPIQ50_70X100|Ovalmaschine SPiQ 50 70x100|textile oval screenprinting machine SPiQ 50 70x100|ST|0.0|SPiQ|50
SPIQ50_80X110|Ovalmaschine SPiQ 50 80x110|textile oval screenprinting machine SPiQ 50 80x110|ST|0.0|SPiQ|50
SPIQ52_45X55|Ovalmaschine SPiQ 52 compact 45x55|textile oval screenprinting machine SPiQ 52 45x55|ST|0.0|SPiQ COMPACT|52
SPIQ52_45X55US|Ovalmaschine SPiQ 52 compact 45x55 US|textile oval screenprinting machine SPiQ 52 45x55 |ST|0.0|SPiQ COMPACT US|52
SPIQ52_50X70|Ovalmaschine SPiQ 52 50x70|textile oval screenprinting machine SPiQ 52 50x70|ST|89509.67|SPiQ|52
SPIQ52_70X100|Ovalmaschine SPiQ 52 70x100|textile oval screenprinting machine SPiQ 52 70x100|ST|92909.03|SPiQ|52
SPIQ52_80X110|Ovalmaschine SPiQ 52 80x110|textile oval screenprinting machine SPiQ 52 80x110|ST|0.0|SPiQ|52
SPIQ54_45X55|Ovalmaschine SPiQ 54 compact 45x55|textile oval screenprinting machine SPiQ 54 45x55|ST|0.0|SPiQ COMPACT|54
SPIQ54_45X55US|Ovalmaschine SPiQ 54 compact 45x55 US|textile oval screenprinting machine SPiQ 54 45x55 |ST|0.0|SPiQ COMPACT US|54
SPIQ54_50X70|Ovalmaschine SPiQ 54 50x70|textile oval screenprinting machine SPiQ 54 50x70|ST|0.0|SPiQ|54
SPIQ54_70X100|Ovalmaschine SPiQ 54 70x100|textile oval screenprinting machine SPiQ 54 70x100|ST|0.0|SPiQ|54
SPIQ54_80X110|Ovalmaschine SPiQ 54 80x110|textile oval screenprinting machine SPiQ 54 80x110|ST|0.0|SPiQ|54
SPIQ56_45X55|Ovalmaschine SPiQ 56 compact 45x55|textile oval screenprinting machine SPiQ 56 45x55|ST|0.0|SPiQ COMPACT|56
SPIQ56_45X55US|Ovalmaschine SPiQ 56 compact 45x55 US|textile oval screenprinting machine SPiQ 56 45x55 |ST|0.0|SPiQ COMPACT US|56
SPIQ58_45X55|Ovalmaschine SPiQ 58 compact 45x55|textile oval screenprinting machine SPiQ 58 45x55|ST|0.0|SPiQ COMPACT|58
SPIQ58_45X55US|Ovalmaschine SPiQ 58 compact 45x55 US|textile oval screenprinting machine SPiQ 58 45x55 |ST|0.0|SPiQ COMPACT US|58
SPIQ58_70X100|Ovalmaschine SPiQ 58 70x100|textile oval screenprinting machine SPiQ 58 70x100|ST|105584.44|SPiQ|58
SPIQ60_45X55|Ovalmaschine SPiQ 60 compact 45x55|textile oval screenprinting machine SPiQ 60 45x55|ST|0.0|SPiQ COMPACT|60
SPIQ60_45X55US|Ovalmaschine SPiQ 60 compact 45x55 US|textile oval screenprinting machine SPiQ 60 45x55 |ST|0.0|SPiQ COMPACT US|60
SPIQ60_50X70|Ovalmaschine SPiQ 60 50x70|textile oval screenprinting machine SPiQ 60 50x70|ST|103379.66|SPiQ|60
SPIQ60_70X100|Ovalmaschine SPiQ 60 70x100|textile oval screenprinting machine SPiQ 60 70x100|ST|0.0|SPiQ|60
SPIQ60_80X110|Ovalmaschine SPiQ 60 80x110|textile oval screenprinting machine SPiQ 60 80x110|ST|0.0|SPiQ|60
SPIQ64_50X70|Ovalmaschine SPiQ 64 50x70|textile oval screenprinting machine SPiQ 64 50x70|ST|0.0|SPiQ|64
SPIQ8_45X55|Ovalmaschine SPiQ 8 compact 45x55|textile oval screenprinting machine SPiQ 8 45x55|ST|0.0|SPiQ COMPACT|8
SPIQ8_45X55US|Ovalmaschine SPiQ 8 compact 45x55 US|textile oval screenprinting machine SPiQ 8 45x55 U|ST|0.0|SPiQ COMPACT US|8
SPIQ8_50X70|Ovalmaschine SPiQ 8 50x70|textile oval screenprinting machine SPiQ 8 50x70|ST|0.0|SPiQ|8
SPIQ8_70X100|Ovalmaschine SPiQ 8 70x100|textile oval screenprinting machine SPiQ 8 70x100|ST|0.0|SPiQ|8
SPIQ8_80X110|Ovalmaschine SPiQ 8 80x110|textile oval screenprinting machine SPiQ 8 80x110|ST|0.0|SPiQ|8
SPSX08_45X55|Siebdruckmaschine SPSX 08|textile screenprinting machine SPSX 08|ST|0.0|SPSX|8
SPSX10_45X55|Siebdruckmaschine SPSX 10|textile screenprinting machine SPSX 10|ST|0.0|SPSX|10
SPSX12_45X55|Siebdruckmaschine SPSX 12|textile screenprinting machine SPSX 12|ST|0.0|SPSX|12
SPSX14_45X55|Siebdruckmaschine SPSX 14|textile screenprinting machine SPSX 14|ST|0.0|SPSX|14
SPSX16_45X55|Siebdruckmaschine SPSX 16|textile screenprinting machine SPSX 16|ST|0.0|SPSX|16
SPSX18_45X55|Siebdruckmaschine SPSX 18|textile screenprinting machine SPSX 18|ST|0.0|SPSX|18
SPSXLF08_50X70|Siebdruckmaschine SPSXLF 08|textile-screenprinting machine SPSXLF 08|ST|0.0|SPSXLF|8
SPSXLF10_50X70|Siebdruckmaschine SPSXLF 10|textile-screenprinting machine SPSXLF 10|ST|0.0|SPSXLF|10
SPSXLF12_50X70|Siebdruckmaschine SPSXLF 12|textile-screenprinting machine SPSXLF 12|ST|0.0|SPSXLF|12
SPSXLF14_50X70|Siebdruckmaschine SPSXLF 14|textile-screenprinting machine SPSXLF 14|ST|0.0|SPSXLF|14
SPSXLS16_45X70|Siebdruckmaschine SPSXLS 16|textile-screenprinting machine SPSXLS 16|ST|0.0|SPSXLS|16
SPXC08_43X50|Siebdruckmaschine SPXC 08|textile-screenprinting machine SPXC 08|ST|0.0|SPXC|8
SPXC10_43X50|Siebdruckmaschine SPXC10|textile-screenprinting machine SPXC 10|ST|0.0|SPXC|10
