itemNo|descrGER|descrENG|quantity|listPrice|machineFamily|tableNo
SP5M08_50X70VAK|Siebdruckmaschine SP5M 08 50x70 VAK|textile-screenprinting machine SP5M 08 50x70 VAK|ST|0.0|SP5000 Manuell VAKUUM|8
SP5M08_70X100|Siebdruckmaschine SP5M 08 70x100|textile-screenprinting machine SP5M 08 70x100|ST|0.0|SP5000 Manuell|8
SP5M08_70X100US|Siebdruckmaschine SP5M 08 70x100 US|textile-screenprinting machine SP5M 08 70x100 US|ST|0.0|SP5000 Manuell US|8
SP5M08_70X100VAK|Siebdruckmaschine SP5M 08 70x100 VAK|textile-screenprinting machine SP5M 08 70x100 VAK|ST|0.0|SP5000 Manuell VAKUUM|8
SP5M08_80X110|Siebdruckmaschine SP5M 08 80x110|textile-screenprinting machine SP5M 08 80x110|ST|0.0|SP5000 Manuell|8
SP5M08_80X110US|Siebdruckmaschine SP5M 08 80x110 US|textile-screenprinting machine SP5M 08 80x110 US|ST|0.0|SP5000 Manuell US|8
SP5M08_80X110VAK|Siebdruckmaschine SP5M 08 80x110 VAK|textile-screenprinting machine SP5M 08 80x110 VAK|ST|0.0|SP5000 Manuell VAKUUM|8
SP5M10_50X70|Siebdruckmaschine SP5M 10 50x70|textile-screenprinting machine SP5M 10 50x70|ST|0.0|SP5000 Manuell|10
SP5M10_50X70US|Siebdruckmaschine SP5M 10 50x70 US|textile-screenprinting machine SP5M 10 50x70 US|ST|0.0|SP5000 Manuell US|10
SP5M10_50X70VAK|Siebdruckmaschine SP5M 10 50x70 VAK|textile-screenprinting machine SP5M 10 50x70 VAK|ST|0.0|SP5000 Manuell VAKUUM|10
SP5M10_70X100|Siebdruckmaschine SP5M 10 70x100|textile-screenprinting machine SP5M 10 70x100|ST|0.0|SP5000 Manuell|10
SP5M10_70X100US|Siebdruckmaschine SP5M 10 70x100 US|textile-screenprinting machine SP5M 10 70x100 US|ST|0.0|SP5000 Manuell US|10
SP5M10_70X100VAK|Siebdruckmaschine SP5M 10 70x100 VAK|textile-screenprinting machine SP5M 10 70x100 VAK|ST|0.0|SP5000 Manuell VAKUUM|10
SP5M10_80X110|Siebdruckmaschine SP5M 10 80x110|textile-screenprinting machine SP5M 10 80x110|ST|0.0|SP5000 Manuell|10
SP5M10_80X110US|Siebdruckmaschine SP5M 10 80x110 US|textile-screenprinting machine SP5M 10 80x110 US|ST|0.0|SP5000 Manuell US|10
SP5M10_80X110VAK|Siebdruckmaschine SP5M 10 80x110 VAK|textile-screenprinting machine SP5M 10 80x110 VAK|ST|0.0|SP5000 Manuell VAKUUM|10
