itemNo|descrGER|descrENG|quantity|sort|listPrice|machineFamily
ZUB106000|Textil-Trockner MINI|textile dryer MINI|ST|6|7752,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x120;50x70;70x100;80x110;80x120;90x120;SPSXLS;SPiQ-2;43x50;45x55;45x70;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF
ZUB106001|Textil-Trockner Drylight DLT-E-17-HH-SC-DB|textile dryer Drylight DLT-E-17-HH-SC-DB|ST|6|29000,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;70x120;50x70;70x100;80x110;80x120;90x120;43x50;45x55;45x70;SPSXLS;SPiQ-2;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
ZUB106005|Textil-Trockner Drylight DLT-G-17-HH-SC-DB|textile dryer Drylight DLT-G-17-HH-SC-DB|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;70x100;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
ZUB106006|Textil-Trockner Drylight DLT-G-17-HH-SC|textile dryer Drylight DLT-G-17-HH-SC|ST|6|27500,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;80x110;80x120;90x120;70x120;45x55;45x70;50x70;70x100;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ-2;43x50;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ COMPACT
ZUB106007|Textil-Trockner Drylight DLT-G-17-HHK-HS-DB|textile dryer Drylight DLT-G-17-HHK-HS-DB|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB106014|Textil-Trockner Drylight DLT-E-17-HHHHHHK-SI-DB|textile dryer Drylight DLT-E-17-HHHHHHK-SI-DB|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB106015|Textil-Trockner Drylight DLT-E-17-HHHHHK-SI-DB|textile dryer Drylight DLT-E-17-HHHHHK-SI-DB|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB106018|Textil-Trockner Drylight DLT-G-17-HH-SC-X US SPSI|textile dryer Drylight DLT-G-17-HH-SC-X US|ST|6|28637,0|SPSX;SPXC;SPSXLF;SPSXLS;SPiQ-2 US;50x70;70x100;80x110;80x120;90x120;70x120;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US
ZUB106019|Textil-Trockner MINI US|textile dryer MINI US|ST|6|7752,0|SPSX;SPXC;SPSXLF;SPSXLS;SP5000 Manuell US;SP5000 Manuell VAKUUM US;80x120;90x120;70x120;SPiQ-2 US;43x50;45x55;45x70;50x70;70x100;80x110;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US
ZUB106021|Textil-Trockner Drylight DLT-G-17-HHHH-SC|textile dryer Drylight DLT-G-17-HHHH-SC|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB106022|Textil-Trockner Drylight DLT-G-17-HHHK-SC-DB|textile dryer Drylight DLT-G-17-HHHK-SC-DB|ST|6|48649,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB106024|Textil-Trockner Drylight DLT-G-17-HHH-SC-X 3x230V |textile dryer Drylight DLT-G-17-HHH-SC-X 3x230V 60|ST|6|39689,0|SPSX;SPXC;SPSXLF;SPSXLS;SP5000 Manuell US;SP5000 Manuell VAKUUM US;80x120;90x120;70x120;SPiQ-2 US;43x50;45x55;45x70;50x70;70x100;80x110;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US
ZUB106025|Textil-Trockner Drylight DLT-G-17-HHHH-SC US|textile dryer Drylight DLT-G-17-HHHH-SC US|ST|6|0,0|SPSX;SPXC;SPSXLF;SPSXLS;SP5000 Manuell US;SP5000 Manuell VAKUUM US;80x120;90x120;70x120;SPiQ-2 US;43x50;45x55;45x70;50x70;70x100;80x110;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US
ZUB106026|Textil-Trockner Drylight DLT-G-17-CHH-SC-DB|textile dryer Drylight DLT-G-17-CHH-SC-DB|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB108980|Flutrakel mit Flügel low 52cm starr|flood blade with wings low 52cm steep|ST|2|13,12167|SPiQ;SPSXLF;Single Print WAND;SPiQ-2;SPiQ US;50x70;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;70x100;80x110;80x120;90x120;70x120;SPiQ-2 US
ZUB108981|Flutrakel mit Flügel low 40cm starr|flood blade with wings low 40cm steep|ST|2|12,273|SPSX;SPXC;SPiQ;SPiQ COMPACT;SPSXLF;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;43x50;45x55;45x70;50x70;70x100;SPSXLS;Single Print WAND;SPiQ-2;SPiQ US;SPiQ COMPACT US
ZUB108983|Textil-Trockner Drylight DLT-G-17-HHHH-SC-DB|textile dryer Drylight DLT-G-17-HHHH-SC-DB|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB108992|Textil-Trockner Drylight DLT-E-17-HHHH-SC-DB|textile dryer Drylight DLT-E-17-HHHH-SC-DB|ST|6|49808,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;50x70;70x100;80x110;80x120;90x120;70x120;43x50;45x55;45x70;SPiQ COMPACT AUTO;SPSXLF;SPSXLS;SPiQ-2;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ COMPACT
ZUB108995|Alu-Palette ohne Hals 40x100cm_500 & Gummiauflage |alu-pallet without neck 40x100cm_500 & rubber coat|ST|3|0,0|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x100;80x110;80x120;90x120;70x120;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;50x70;SPiQ;SPiQ AUTO;SP5000 Manuell US;SP5000 Manuell VAKUUM US
ZUB108996|Flutrakel mit Flügel low 45cm starr|flood blade with wings low 45cm steep|ST|2|18,55|SPSX;SPXC;SPiQ;SPiQ COMPACT;SPSXLF;SPSXLS;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;80x120;90x120;Single Print WAND;SPiQ-2;SPiQ US;SPiQ COMPACT US;43x50;45x55
ZUB108999|Flutrakel mit Flügel high 45cm starr|flood blade with wings high 45cm steep|ST|2|18,581|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ AUTO;SPiQ COMPACT AUTO;80x110;80x120;90x120;70x120;SPiQ AUTO US;SPiQ COMPACT AUTO US;45x55;50x70;70x100;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US
ZUB109013|Flutrakel mit Flügel high 40cm starr|flood blade with wings high 40cm steep|ST|2|14,96286|SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ AUTO;SPiQ COMPACT AUTO;70x120;45x55;50x70;70x100;80x110;80x120;90x120;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ AUTO US;SPiQ COMPACT AUTO US
ZUB109022|Textil-Trockner Drylight DLT-E-17-HHHHK-SC-DB|textile dryer Drylight DLT-E-17-HHHHK-SC-DB|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB109023|Textil-Trockner Drylight DLT-E-17-HHHHK-SC|textile dryer Drylight DLT-E-17-HHHHK-SC|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB109029|Alu-Palette ohne Hals 40x100cm_500 & Gummiauflage |alu-pallet without neck 40x100cm_500 & rubber coat|ST|3|197,73091|SP5000 Manuell;SP5000 AUTO;70x120;50x70;70x100;80x110;80x120;90x120;SPiQ AUTO US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPiQ AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;SPiQ
ZUB109037|Caldera Software für Digital-Drucker|Caldera Software for Digital Printer|ST|10|604,165|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;45x55;45x70;50x70;SPiQ-2 US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;SPSXLS;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF
ZUB109043|Flutrakel mit Flügel low 13cm starr|flood blade with wings low 13cm steep|ST|2|9,458|SPSX;SPXC;SPiQ;SPiQ COMPACT;SPSXLF;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;43x50;45x55;45x70;50x70;70x100;SPSXLS;Single Print WAND;SPiQ-2;SPiQ US;SPiQ COMPACT US
ZUB109044|Textil-Trockner Drylight DLT-E-17-CH-SC|textile dryer Drylight DLT-E-17-CH-SC|ST|6|34857,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;70x120;50x70;70x100;80x110;80x120;90x120;SPSXLS;SPiQ-2;43x50;45x55;45x70;SP5000 AUTO VAKUUM;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF
ZUB109048|Textil-Trockner Drylight DLT-E-17-CHH-SC|textile dryer Drylight DLT-E-17-CHH-SC|ST|6|0,0|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2;43x50;45x55;45x70;50x70;70x100;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
