itemNo|descrGER|descrENG|quantity|sort|listPrice|machineFamily
ZUB105550|Textil-Trockner COMPACT G-18-H-HS-X US|textile dryer COMPACT G-18-H-HS-X US|ST|6|21029,0|SPSX;SPXC;SPSXLF;SPSXLS;SP5000 Manuell US;SP5000 Manuell VAKUUM US;80x120;90x120;70x120;SPiQ-2 US;43x50;45x55;45x70;50x70;70x100;80x110;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US
ZUB105551|Textil-Trockner Drylight DLT-G-17-HH-SC-DB-X US SP|textile dryer Drylight DLT-G-17-HH-SC-DB-X US SPSI|ST|6|32687,0|SPSX;SPXC;90x120;70x120;SPiQ-2 US;70x100;80x110;80x120;45x55;45x70;50x70;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SPSXLF;SPSXLS
ZUB105552|Textil-Trockner Drylight DLT-G-17-HH-SC-DB-X US SP|textile dryer Drylight DLT-G-17-HH-SC-DB-X US|ST|6|31275,0|SPSX;SPXC;SPSXLF;SPSXLS;SP5000 Manuell US;SP5000 Manuell VAKUUM US;80x120;90x120;70x120;SPiQ-2 US;43x50;45x55;45x70;50x70;70x100;80x110;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US
ZUB105609|Alu-Palette ohne Hals 85x140cm_600 SP5000|alu-pallet without neck 85x140cm 600 SP5000|ST|3|244,00333|SP5000 Manuell;SP5000 AUTO;70x100;80x110;SP5000 AUTO VAKUUM US;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM
ZUB105610|Flutrakel mit Flügel low 26cm starr|flood blade with wings low 26cm steep|ST|2|14,02|SPSX;SPXC;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;80x110;80x120;90x120;45x70;50x70;70x100;SPiQ US;SPiQ COMPACT US;43x50;45x55;Single Print WAND;SPiQ-2;SPiQ;SPiQ COMPACT;SPSXLF;SPSXLS
ZUB105613|Alu-Palette ohne Hals 85x140cm_600 SPiQ|alu-pallet without neck 85x140cm 600 SPiQ|ST|3|252,063|SPiQ;SPiQ AUTO;SPiQ US;SPiQ AUTO US;80x110;80x120;90x120
ZUB105618|Alu-Palette ohne Hals mit Gummiauflage 2mm 85x140c|alu-pallet without neck rubber coated 85x140cm 600|ST|3|0,0|SPiQ;SPiQ AUTO;SPiQ US;SPiQ AUTO US;80x110;80x120;90x120
ZUB105641|Druckrakel 13cm 55-Shore|"squeegee blade 13cm(5,1"") 55-shore"|ST|1|10,175|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;80x110;80x120;90x120;70x120;SPiQ-2 US;Single Print WAND VAKUUM;43x50;45x55;45x70;50x70;70x100;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;SPSXLS;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF
ZUB105644|Druckrakel 45cm 55-Shore|"squeegee blade 45cm(17,7"") 55-shore"|ST|1|13,08125|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;70x120;SPiQ-2 US;Single Print WAND VAKUUM;Single Print FAHRBAR;Single Print FAHRBAR VAKUUM;45x70;50x70;70x100;80x110;80x120;90x120;SPiQ US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;Single Print WAND;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
ZUB105675|MHM Inhead Flock Absaugung|MHM inhead flock vacuum cleaner|ST|9|1086,59|SPSX;SPXC;SP5000 Manuell;SP5000 AUTO;SP5000 Manuell VAKUUM;SP5000 AUTO VAKUUM;50x70;SPiQ-2 US;SPiQ AUTO US;SPiQ COMPACT US;SPiQ COMPACT AUTO US;43x50;45x55;45x70;SPiQ-2;SP5000 Manuell US;SP5000 Manuell VAKUUM US;SP5000 AUTO US;SP5000 AUTO VAKUUM US;SPiQ US;SPiQ;SPiQ AUTO;SPiQ COMPACT;SPiQ COMPACT AUTO;SPSXLF;SPSXLS
